Game ID,Game Timestamp,Difficulty,Board Solved,Time,Estimated Time,3BV,Completed 3BV,3BV p s,Efficiency,Total Clicks,Useful Clicks,Wasted Clicks
2358451094,2023-06-15 23:30:01,expert,False,20.503,79.338,178,46,2.2436,81.0,57,55,2
2358451092,2023-06-15 23:29:59,expert,False,1.373,113.273,165,2,1.4567,50.0,4,4,0
2358450127,2023-06-15 23:29:53,expert,False,4.490,105.836,165,7,1.5590,47.0,15,14,1
2358447721,2023-06-15 23:28:32,expert,False,63.148,90.416,189,132,2.0903,75.0,176,163,13
2358447717,2023-06-15 23:28:28,expert,False,3.025,79.028,209,8,2.6446,100.0,8,8,0
2358447715,2023-06-15 23:28:27,expert,False,0.152,,197,0,,0.0,2,2,0
2358447713,2023-06-15 23:28:26,expert,False,0.137,,157,1,7.2993,50.0,2,2,0
2358446017,2023-06-15 23:27:40,expert,False,39.948,74.959,167,89,2.2279,85.0,105,97,8
2358445727,2023-06-15 23:27:26,expert,False,12.990,116.910,171,19,1.4627,50.0,38,33,5
2358445102,2023-06-15 23:27:23,expert,False,2.021,132.712,197,3,1.4844,38.0,8,7,1
2358444069,2023-06-15 23:26:56,expert,False,24.291,97.787,157,39,1.6055,59.0,66,63,3
2358443196,2023-06-15 23:26:44,expert,False,9.896,71.628,152,21,2.1221,70.0,30,29,1
2358430089,2023-06-15 23:21:55,expert,False,14.444,82.471,177,31,2.1462,76.0,41,37,4
2358426634,2023-06-15 23:20:48,expert,False,63.333,85.993,148,109,1.7211,64.0,169,155,14
2358413157,2023-06-15 23:14:43,expert,False,0.151,,203,1,6.6225,50.0,2,2,0
2358413158,2023-06-15 23:14:43,expert,False,18.523,81.860,137,31,1.6736,60.0,52,50,2
2358413156,2023-06-15 23:14:41,expert,False,0.667,,128,1,1.4992,33.0,3,3,0
2358412922,2023-06-15 23:14:24,expert,False,15.127,94.684,169,27,1.7849,59.0,46,41,5
2358412234,2023-06-15 23:14:20,expert,False,2.762,170.323,185,3,1.0862,33.0,9,7,2
2358412231,2023-06-15 23:14:19,expert,False,0.137,,185,1,7.2993,50.0,2,2,0
2358382599,2023-06-15 23:02:55,expert,False,37.712,69.063,152,83,2.2009,77.0,108,98,10
2358380115,2023-06-15 23:02:35,expert,False,15.985,94.970,202,34,2.1270,68.0,50,50,0
2358380114,2023-06-15 23:02:34,expert,False,0.546,,177,1,1.8315,33.0,3,3,0
2358379424,2023-06-15 23:02:26,expert,False,6.248,111.839,179,10,1.6005,43.0,23,17,6
2358379417,2023-06-15 23:01:51,expert,False,32.850,75.641,175,76,2.3135,78.0,97,94,3
2358379416,2023-06-15 23:01:50,expert,False,0.734,,172,1,1.3624,33.0,3,3,0
2358379415,2023-06-15 23:01:49,expert,False,0.176,,174,1,5.6818,50.0,2,2,0
2358377876,2023-06-15 23:01:37,expert,False,9.710,110.694,171,15,1.5448,50.0,30,25,5
2358372252,2023-06-15 22:58:21,expert,False,39.533,91.189,173,75,1.8971,61.0,122,109,13
2358372251,2023-06-15 22:58:17,expert,False,2.678,83.911,188,6,2.2405,67.0,9,8,1
2358372250,2023-06-15 22:58:15,expert,False,1.445,51.442,178,5,3.4602,83.0,6,6,0
2358371460,2023-06-15 22:58:12,expert,False,1.660,149.400,180,2,1.2048,33.0,6,6,0
2358371458,2023-06-15 22:58:10,expert,False,1.227,,141,1,0.8150,17.0,6,6,0
2358371454,2023-06-15 22:58:07,expert,False,1.776,107.744,182,3,1.6892,43.0,7,6,1
2358370911,2023-06-15 22:58:01,expert,False,5.448,97.569,197,11,2.0191,61.0,18,17,1
2358370910,2023-06-15 22:57:58,expert,False,1.764,45.864,182,7,3.9683,78.0,9,8,1
2358370909,2023-06-15 22:57:51,expert,False,5.138,74.267,159,11,2.1409,58.0,19,18,1
2358370908,2023-06-15 22:57:49,expert,False,0.593,49.812,168,2,3.3727,67.0,3,3,0
2358370907,2023-06-15 22:57:46,expert,False,2.281,58.654,180,7,3.0688,78.0,9,9,0
2358368806,2023-06-15 22:57:05,expert,False,30.130,82.548,200,73,2.4228,81.0,90,87,3
2358368804,2023-06-15 22:57:04,expert,False,0.583,49.555,170,2,3.4305,67.0,3,3,0
2358366631,2023-06-15 22:55:49,expert,False,66.057,82.571,175,140,2.1194,71.0,196,181,15
2358366630,2023-06-15 22:55:48,expert,False,0.601,,176,1,1.6639,33.0,3,3,0
2358366628,2023-06-15 22:55:46,expert,False,0.724,,186,1,1.3812,33.0,3,3,0
2358366627,2023-06-15 22:55:44,expert,False,1.872,64.584,207,6,3.2051,86.0,7,7,0
2358365398,2023-06-15 22:55:42,expert,False,0.179,,199,0,,0.0,2,2,0
2358365393,2023-06-15 22:55:32,expert,False,7.319,56.112,184,24,3.2791,96.0,25,24,1
2358364992,2023-06-15 22:55:28,expert,False,2.647,154.408,175,3,1.1334,30.0,10,9,1
2358364987,2023-06-15 22:55:18,expert,False,0.158,,172,1,6.3291,50.0,2,2,0
2358364213,2023-06-15 22:55:13,expert,False,0.181,,163,1,5.5249,50.0,2,2,0
2358364211,2023-06-15 22:55:12,expert,False,0.154,,175,0,,0.0,2,2,0
2358364209,2023-06-15 22:55:11,expert,False,0.543,,185,1,1.8416,50.0,2,2,0
2358363289,2023-06-15 22:54:21,expert,False,41.237,81.547,176,89,2.1583,75.0,118,107,11
2358363288,2023-06-15 22:54:20,expert,False,0.166,,140,0,,0.0,2,2,0
2358363287,2023-06-15 22:54:19,expert,False,0.131,,133,1,7.6336,50.0,2,2,0
2358358736,2023-06-15 22:52:19,expert,True,87.824,,166,166,1.8901,67.0,246,218,28
2358358735,2023-06-15 22:52:17,expert,False,0.655,59.278,181,2,3.0534,67.0,3,3,0
2358358733,2023-06-15 22:52:16,expert,False,0.522,,138,1,1.9157,50.0,2,2,0
2358356963,2023-06-15 22:52:13,expert,False,2.140,56.251,184,7,3.2710,88.0,8,8,0
2358356962,2023-06-15 22:52:11,expert,False,0.557,,203,1,1.7953,33.0,3,3,0
2358352934,2023-06-15 22:50:00,expert,False,43.348,77.337,157,88,2.0301,69.0,127,117,10
2358352025,2023-06-15 22:49:59,expert,False,0.701,,153,1,1.4265,33.0,3,3,0
2358352023,2023-06-15 22:49:55,expert,False,0.764,,169,1,1.3089,33.0,3,3,0
2358351026,2023-06-15 22:49:05,expert,False,41.559,77.300,186,100,2.4062,82.0,122,111,11
2358351025,2023-06-15 22:49:03,expert,False,0.492,52.890,215,2,4.0650,67.0,3,3,0
2358348668,2023-06-15 22:48:16,expert,False,28.109,78.133,164,59,2.0990,68.0,87,83,4
2358346395,2023-06-15 22:47:21,expert,False,24.654,60.115,178,73,2.9610,106.0,69,67,2
2358346391,2023-06-15 22:47:17,expert,False,0.698,,176,1,1.4327,33.0,3,3,0
2358340880,2023-06-15 22:44:59,expert,False,18.700,90.667,160,33,1.7647,62.0,53,48,5
2358338849,2023-06-15 22:43:50,expert,False,27.698,68.352,153,62,2.2384,79.0,78,77,1
2358336918,2023-06-15 22:43:09,expert,False,20.810,127.172,165,27,1.2975,48.0,56,52,4
2358336915,2023-06-15 22:43:08,expert,False,0.548,,158,1,1.8248,50.0,2,2,0
2358336315,2023-06-15 22:43:01,expert,False,1.976,,164,1,0.5061,13.0,8,3,5
2358335146,2023-06-15 22:42:44,expert,False,0.531,,146,1,1.8832,50.0,2,2,0
2358334519,2023-06-15 22:42:20,expert,False,12.607,111.662,186,21,1.6657,53.0,40,34,6
2358334517,2023-06-15 22:42:19,expert,False,0.179,,173,1,5.5866,50.0,2,2,0
2358333906,2023-06-15 22:41:53,expert,False,10.253,76.898,180,24,2.3408,89.0,27,24,3
2358333902,2023-06-15 22:41:48,expert,False,1.829,167.354,183,2,1.0935,40.0,5,5,0
2358029351,2023-06-15 20:05:20,expert,False,40.673,102.593,169,67,1.6473,63.0,107,97,10
2358029350,2023-06-15 20:05:18,expert,False,0.144,,213,1,6.9444,50.0,2,2,0
2358009050,2023-06-15 19:52:18,expert,False,33.195,83.221,178,71,2.1389,77.0,92,85,7
2357997015,2023-06-15 19:46:15,expert,False,43.814,79.696,211,116,2.6476,85.0,136,126,10
