game-id,game-timestamp,difficulty,elapsed-time,estimated-time,board-solved,completed-3bv,board-3bv,game-3bvps,useful-clicks,wasted-clicks,total-clicks,efficiency,solve-percentage
2358451094,2023-06-16 06:30:01+00:00,expert,20.503,79.338,False,46,178,2.2436,55,2,57,81.0,25.842696629213485
2358447721,2023-06-16 06:28:32+00:00,expert,63.148,90.416,False,132,189,2.0903,163,13,176,75.0,69.84126984126983
2358446017,2023-06-16 06:27:40+00:00,expert,39.948,74.959,False,89,167,2.2279,97,8,105,85.0,53.293413173652695
2358444069,2023-06-16 06:26:56+00:00,expert,24.291,97.787,False,39,157,1.6055,63,3,66,59.0,24.840764331210192
2358426634,2023-06-16 06:20:48+00:00,expert,63.333,85.993,False,109,148,1.7211,155,14,169,64.0,73.64864864864865
2358413158,2023-06-16 06:14:43+00:00,expert,18.523,81.86,False,31,137,1.6736,50,2,52,60.0,22.62773722627737
2358382599,2023-06-16 06:02:55+00:00,expert,37.712,69.063,False,83,152,2.2009,98,10,108,77.0,54.60526315789473
2358379417,2023-06-16 06:01:51+00:00,expert,32.85,75.641,False,76,175,2.3135,94,3,97,78.0,43.42857142857143
2358372252,2023-06-16 05:58:21+00:00,expert,39.533,91.189,False,75,173,1.8971,109,13,122,61.0,43.35260115606936
2358368806,2023-06-16 05:57:05+00:00,expert,30.13,82.548,False,73,200,2.4228,87,3,90,81.0,36.5
2358366631,2023-06-16 05:55:49+00:00,expert,66.057,82.571,False,140,175,2.1194,181,15,196,71.0,80.0
2358363289,2023-06-16 05:54:21+00:00,expert,41.237,81.547,False,89,176,2.1583,107,11,118,75.0,50.56818181818182
2358358736,2023-06-16 05:52:19+00:00,expert,87.824,-1.0,True,166,166,1.8901,218,28,246,67.0,100.0
2358352934,2023-06-16 05:50:00+00:00,expert,43.348,77.337,False,88,157,2.0301,117,10,127,69.0,56.05095541401274
2358351026,2023-06-16 05:49:05+00:00,expert,41.559,77.3,False,100,186,2.4062,111,11,122,82.0,53.76344086021505
2358348668,2023-06-16 05:48:16+00:00,expert,28.109,78.133,False,59,164,2.099,83,4,87,68.0,35.97560975609756
2358346395,2023-06-16 05:47:21+00:00,expert,24.654,60.115,False,73,178,2.961,67,2,69,106.0,41.01123595505618
2358340880,2023-06-16 05:44:59+00:00,expert,18.7,90.667,False,33,160,1.7647,48,5,53,62.0,20.625
2358338849,2023-06-16 05:43:50+00:00,expert,27.698,68.352,False,62,153,2.2384,77,1,78,79.0,40.52287581699346
2358029351,2023-06-16 03:05:20+00:00,expert,40.673,102.593,False,67,169,1.6473,97,10,107,63.0,39.64497041420118
2358009050,2023-06-16 02:52:18+00:00,expert,33.195,83.221,False,71,178,2.1389,85,7,92,77.0,39.8876404494382
2357997015,2023-06-16 02:46:15+00:00,expert,43.814,79.696,False,116,211,2.6476,126,10,136,85.0,54.976303317535546
2357993937,2023-06-16 02:45:09+00:00,expert,33.128,86.034,False,67,174,2.0225,100,6,106,63.0,38.50574712643678
2357992778,2023-06-16 02:44:00+00:00,expert,42.47,90.48,False,69,147,1.6247,115,8,123,56.0,46.93877551020408
2357991473,2023-06-16 02:43:21+00:00,expert,27.763,74.839,False,69,186,2.4853,81,2,83,83.0,37.096774193548384
2357965451,2023-06-16 02:29:35+00:00,expert,23.736,78.511,False,52,172,2.1908,67,1,68,76.0,30.23255813953488
2357749039,2023-06-16 00:22:43+00:00,expert,43.188,71.98,False,84,140,1.945,114,10,124,68.0,60.0
2357746799,2023-06-16 00:21:18+00:00,expert,64.45,96.675,False,112,168,1.7378,163,10,173,65.0,66.66666666666666
2357740933,2023-06-16 00:17:53+00:00,expert,23.017,83.143,False,49,177,2.1289,57,10,67,73.0,27.683615819209038
2357740263,2023-06-16 00:16:45+00:00,expert,64.518,81.635,False,147,186,2.2784,173,6,179,82.0,79.03225806451613
2357738618,2023-06-16 00:15:38+00:00,expert,18.03,79.429,False,37,163,2.0521,54,2,56,66.0,22.699386503067483
2357738184,2023-06-16 00:15:08+00:00,expert,19.992,86.783,False,44,191,2.2009,54,4,58,76.0,23.036649214659686
2357737819,2023-06-16 00:14:44+00:00,expert,21.479,89.912,False,43,180,2.002,61,1,62,69.0,23.88888888888889
2357733445,2023-06-16 00:11:56+00:00,expert,71.459,-1.0,True,118,118,1.6513,185,19,204,58.0,100.0
2357730623,2023-06-16 00:10:11+00:00,expert,56.98,83.794,False,136,200,2.3868,158,6,164,83.0,68.0
2357729663,2023-06-16 00:09:39+00:00,expert,20.624,79.488,False,48,185,2.3274,54,3,57,84.0,25.945945945945947
2357725806,2023-06-16 00:06:11+00:00,expert,30.156,78.406,False,70,182,2.3213,82,7,89,79.0,38.46153846153847
2357721850,2023-06-16 00:03:46+00:00,expert,46.183,74.045,False,121,194,2.62,123,8,131,92.0,62.371134020618555
2357721056,2023-06-16 00:02:20+00:00,expert,66.061,74.904,False,127,144,1.9225,181,18,199,64.0,88.19444444444444
2357718967,2023-06-16 00:01:17+00:00,expert,38.415,75.49,False,86,169,2.2387,107,4,111,77.0,50.887573964497044
2357713819,2023-06-15 23:57:27+00:00,expert,34.513,81.895,False,59,140,1.7095,91,5,96,61.0,42.142857142857146
2357712724,2023-06-15 23:55:57+00:00,expert,39.384,91.076,False,80,185,2.0313,103,5,108,74.0,43.24324324324324
2357634913,2023-06-15 22:54:05+00:00,expert,30.999,88.646,False,57,163,1.8388,84,5,89,64.0,34.96932515337423
2357373695,2023-06-15 20:04:22+00:00,expert,49.03,78.239,False,94,150,1.9172,139,12,151,62.0,62.66666666666667
2357371514,2023-06-15 20:03:37+00:00,expert,18.509,77.562,False,42,176,2.2692,54,2,56,75.0,23.863636363636363
