game-id,game-timestamp,difficulty,elapsed-time,estimated-time,board-solved,completed-3bv,board-3bv,game-3bvps,useful-clicks,wasted-clicks,total-clicks,efficiency,solve-percentage
2358451094,2023-06-16 06:30:01+00:00,expert,20.503,79.338,False,46,178,2.2436,55,2,57,81.0,25.842696629213485
2358451092,2023-06-16 06:29:59+00:00,expert,1.373,113.273,False,2,165,1.4567,4,0,4,50.0,1.2121212121212122
2358450127,2023-06-16 06:29:53+00:00,expert,4.49,105.836,False,7,165,1.559,14,1,15,47.0,4.242424242424243
2358447721,2023-06-16 06:28:32+00:00,expert,63.148,90.416,False,132,189,2.0903,163,13,176,75.0,69.84126984126983
2358447717,2023-06-16 06:28:28+00:00,expert,3.025,79.028,False,8,209,2.6446,8,0,8,100.0,3.827751196172249
2358447715,2023-06-16 06:28:27+00:00,expert,0.152,-1.0,False,0,197,,2,0,2,0.0,0.0
2358447713,2023-06-16 06:28:26+00:00,expert,0.137,-1.0,False,1,157,7.2993,2,0,2,50.0,0.6369426751592357
2358446017,2023-06-16 06:27:40+00:00,expert,39.948,74.959,False,89,167,2.2279,97,8,105,85.0,53.293413173652695
2358445727,2023-06-16 06:27:26+00:00,expert,12.99,116.91,False,19,171,1.4627,33,5,38,50.0,11.11111111111111
2358445102,2023-06-16 06:27:23+00:00,expert,2.021,132.712,False,3,197,1.4844,7,1,8,38.0,1.5228426395939088
2358444069,2023-06-16 06:26:56+00:00,expert,24.291,97.787,False,39,157,1.6055,63,3,66,59.0,24.840764331210192
2358443196,2023-06-16 06:26:44+00:00,expert,9.896,71.628,False,21,152,2.1221,29,1,30,70.0,13.815789473684212
2358430089,2023-06-16 06:21:55+00:00,expert,14.444,82.471,False,31,177,2.1462,37,4,41,76.0,17.51412429378531
2358426634,2023-06-16 06:20:48+00:00,expert,63.333,85.993,False,109,148,1.7211,155,14,169,64.0,73.64864864864865
2358413157,2023-06-16 06:14:43+00:00,expert,0.151,-1.0,False,1,203,6.6225,2,0,2,50.0,0.49261083743842365
2358413158,2023-06-16 06:14:43+00:00,expert,18.523,81.86,False,31,137,1.6736,50,2,52,60.0,22.62773722627737
2358413156,2023-06-16 06:14:41+00:00,expert,0.667,-1.0,False,1,128,1.4992,3,0,3,33.0,0.78125
2358412922,2023-06-16 06:14:24+00:00,expert,15.127,94.684,False,27,169,1.7849,41,5,46,59.0,15.976331360946746
2358412234,2023-06-16 06:14:20+00:00,expert,2.762,170.323,False,3,185,1.0862,7,2,9,33.0,1.6216216216216217
2358412231,2023-06-16 06:14:19+00:00,expert,0.137,-1.0,False,1,185,7.2993,2,0,2,50.0,0.5405405405405406
2358382599,2023-06-16 06:02:55+00:00,expert,37.712,69.063,False,83,152,2.2009,98,10,108,77.0,54.60526315789473
2358380115,2023-06-16 06:02:35+00:00,expert,15.985,94.97,False,34,202,2.127,50,0,50,68.0,16.831683168316832
2358380114,2023-06-16 06:02:34+00:00,expert,0.546,-1.0,False,1,177,1.8315,3,0,3,33.0,0.5649717514124294
2358379424,2023-06-16 06:02:26+00:00,expert,6.248,111.839,False,10,179,1.6005,17,6,23,43.0,5.58659217877095
2358379417,2023-06-16 06:01:51+00:00,expert,32.85,75.641,False,76,175,2.3135,94,3,97,78.0,43.42857142857143
2358379416,2023-06-16 06:01:50+00:00,expert,0.734,-1.0,False,1,172,1.3624,3,0,3,33.0,0.5813953488372093
2358379415,2023-06-16 06:01:49+00:00,expert,0.176,-1.0,False,1,174,5.6818,2,0,2,50.0,0.5747126436781609
2358377876,2023-06-16 06:01:37+00:00,expert,9.71,110.694,False,15,171,1.5448,25,5,30,50.0,8.771929824561402
2358372252,2023-06-16 05:58:21+00:00,expert,39.533,91.189,False,75,173,1.8971,109,13,122,61.0,43.35260115606936
2358372251,2023-06-16 05:58:17+00:00,expert,2.678,83.911,False,6,188,2.2405,8,1,9,67.0,3.1914893617021276
2358372250,2023-06-16 05:58:15+00:00,expert,1.445,51.442,False,5,178,3.4602,6,0,6,83.0,2.8089887640449436
2358371460,2023-06-16 05:58:12+00:00,expert,1.66,149.4,False,2,180,1.2048,6,0,6,33.0,1.1111111111111112
2358371458,2023-06-16 05:58:10+00:00,expert,1.227,-1.0,False,1,141,0.815,6,0,6,17.0,0.7092198581560284
2358371454,2023-06-16 05:58:07+00:00,expert,1.776,107.744,False,3,182,1.6892,6,1,7,43.0,1.6483516483516485
2358370911,2023-06-16 05:58:01+00:00,expert,5.448,97.569,False,11,197,2.0191,17,1,18,61.0,5.583756345177665
2358370910,2023-06-16 05:57:58+00:00,expert,1.764,45.864,False,7,182,3.9683,8,1,9,78.0,3.8461538461538463
2358370909,2023-06-16 05:57:51+00:00,expert,5.138,74.267,False,11,159,2.1409,18,1,19,58.0,6.918238993710692
2358370908,2023-06-16 05:57:49+00:00,expert,0.593,49.812,False,2,168,3.3727,3,0,3,67.0,1.1904761904761905
2358370907,2023-06-16 05:57:46+00:00,expert,2.281,58.654,False,7,180,3.0688,9,0,9,78.0,3.888888888888889
2358368806,2023-06-16 05:57:05+00:00,expert,30.13,82.548,False,73,200,2.4228,87,3,90,81.0,36.5
2358368804,2023-06-16 05:57:04+00:00,expert,0.583,49.555,False,2,170,3.4305,3,0,3,67.0,1.1764705882352942
2358366631,2023-06-16 05:55:49+00:00,expert,66.057,82.571,False,140,175,2.1194,181,15,196,71.0,80.0
2358366630,2023-06-16 05:55:48+00:00,expert,0.601,-1.0,False,1,176,1.6639,3,0,3,33.0,0.5681818181818182
2358366628,2023-06-16 05:55:46+00:00,expert,0.724,-1.0,False,1,186,1.3812,3,0,3,33.0,0.5376344086021506
2358366627,2023-06-16 05:55:44+00:00,expert,1.872,64.584,False,6,207,3.2051,7,0,7,86.0,2.898550724637681
2358365398,2023-06-16 05:55:42+00:00,expert,0.179,-1.0,False,0,199,,2,0,2,0.0,0.0
